Index	Abbreviation	Full_Name	First_Level	Last_Level
3	ACC	anterior_cingulate_cortex	3	3
11	MCC	midcingulate_cortex	3	4
17	med_OFC	medial_orbital_frontal_cortex	3	3
25	lat_OFC	lateral_orbital_frontal_cortex	3	3
37	caudal_OFC	caudal_orbital_frontal_cortex	3	3
51	area_8A	periarcuate_area_8A_(Frontal_Eye_Fields)	3	5
54	dlPFC	dorsolateral_prefrontal_cortex	3	3
64	vlPFC	ventrolateral_prefrontal_cortex	3	3
78	M1/PM	lateral_motor_cortex	3	3
87	SMA/preSMA	medial_supplementary_motor_areas	3	4
92	SI	primary_somatosensory_cortex	3	4
95	SII	secondary_somatosensory_cortex	3	6
97	V6/V6A	visual_areas_V6_and_V6A	3	3
102	area_5	area_5	3	4
107	vm_IPS	ventromedial_intraparietal_sulcus	3	4
113	lat_IPS	lateral_intraparietal_sulcus	3	4
119	MST	medial_superior_temporal_area	3	6
120	area_7_in_IPL	area_7_in_the_inferior_parietal_lobule	3	4
126	area_7m	area_7_(PGm)_on_the_medial_wall	3	6
127	PCgG	posterior_cingulate_gyrus	3	3
140	HC	hippocampus	3	3
148	paraHipp	parahippocampal_cortex	3	4
153	Rh	rhinal_cortex	3	3
165	TG	temporal_pole	2	3
176	TEO	area_TEO	3	6
177	TE	area_TE	3	3
188	STSf	fundus_of_the_superior_temporal_sulcus	3	4
194	STGr/STSd	rostral_superior_temporal_region	3	3
199	STGc	caudal_superior_temporal_gyrus	3	4
205	belt	belt_areas_of_auditory_cortex	3	3
218	RTp	polar_rostrotemporal_cortex	3	6
219	core	core_areas_of_auditory_cortex	3	4
224	floor_of_ls	floor_of_the_lateral_sulcus	2	3
232	MT	middle_temporal_area	2	6
234	V4	visual_area_4	3	4
237	V2-V3	preoccipital_visual_areas_2-3	3	3
246	V1	primary_visual_cortex	2	6
