Index	Abbreviation	Full_Name	First_Level	Last_Level
3	LPal	lateral_pallium	3	3
5	VPal	ventral_pallium	3	3
11	HF	hippocampal_formation	3	4
15	f	fornix	3	6
17	pAmy	pallial_amygdala	3	3
32	spAmy	subpallial_amygdala	3	3
43	Str	striatum	3	3
54	Pd	pallidum	3	4
61	DSP	diagonal_subpallium	2	3
69	POC	preoptic_complex	2	3
76	THy	tuberal_hypothalamus	3	3
92	PHy	posterior_hypothalamus	3	3
100	Pit	pituitary	3	4
104	ZI-H	zona_incerta_and_lenticular_fascicles	3	6
106	Rt	reticular_thalamus	3	6
107	MThal	medial_thalamus	3	3
120	MLThal	midline_thalamus	3	4
128	VThal	ventral_thalamus	3	3
141	PThal	posterior_thalamus	3	3
150	GThal	geniculate_thalamus	3	3
153	EpiThal	epithalamus	2	3
156	PrT	pretectum	2	4
164	DMid	dorsal_midbrain	3	3
173	LMid	lateral_midbrain	3	3
185	MMid	medial_midbrain	3	3
193	VMid	ventral_midbrain	3	3
206	DPons	dorsal_pons	3	3
219	LPons	lateral_pons	3	3
224	VPons	ventral_pons	3	3
242	wmCB	cerebellar_white_matter	3	4
245	DCb	deep_cerebellar_nuclei	3	4
251	CbCx	cerebellar_cortex	3	3
281	DMed	dorsal_medulla	3	3
299	IMed	intermediate_medulla	3	3
311	VMed	ventral_medulla	3	3
