Index	Abbreviation	Full_Name	First_Level	Last_Level
1	tel	telencephalon	1	1
2	LVPal	lateral_and_ventral_pallium	2	2
3	LPal	lateral_pallium	3	3
4	Cl	claustrum	4	6
5	VPal	ventral_pallium	3	3
6	En	endopiriform_claustrum	4	4
7	DEn	dorsal_endopiriform_claustrum	5	6
8	VEn	ventral_endopiriform_claustrum	5	6
9	Pir	piriform_cortex	4	6
10	MPal	medial_pallium	2	2
11	HF	hippocampal_formation	3	4
12	Hi	hippocampus	5	6
13	S	subicular_complex	5	6
14	fi	fimbria	5	6
15	f	fornix	3	6
16	Amy	amygdala	2	2
17	pAmy	pallial_amygdala	3	3
18	vpAmy	ventropallial_amygdala	4	4
19	BM	basomedial_amygdaloid_nucleus	5	6
20	VCo	ventral_cortical_amygdaloid_nucleus	5	6
21	AHi	amygdalohippocampal_area	5	6
22	lpAmy	lateropallial_amygdala	4	4
23	La	lateral_amygdaloid_nucleus	5	5
24	LaD	lateral_dorsal_amygdaloid_nucleus	6	6
25	LaV	lateral_ventral_amygdaloid_nucleus	6	6
26	APir	amygdalopiriform_transition_area	5	6
27	BL	basolateral_amygdaloid_nucleus	5	5
28	BLD	basolateral_dorsal_amygdaloid_nucleus	6	6
29	BLI	basolateral_intermediate_amygdaloid_nucleus	6	6
30	BLV	basolateral_ventral_amygdaloid_nucleus	6	6
31	PaL	paralaminar_amygdaloid_nucleus	5	6
32	spAmy	subpallial_amygdala	3	3
33	stAmy	striatal_amygdala	4	4
34	Ce	central_amygdaloid_nucleus	5	6
35	mAmy	medial_amygdala	4	4
36	Me	medial_amygdaloid_nucleus	5	6
37	AA	anterior_amygdaloid_area	5	6
38	pdAmy	pallidal_amygdala	4	4
39	EA	extended_amygdala	5	6
40	IPAC	posterior_interstitial_nucleus	5	6
41	STIA	intraamygdaloid_stria_terminalis	5	6
42	BG	basal_ganglia	2	2
43	Str	striatum	3	3
44	DStr	dorsal_striatum	4	4
45	Cd	caudate	5	5
46	CdH	caudate_head	6	6
47	CdT	caudate_tail	6	6
48	Pu	putamen	5	6
49	ASt	amygdalostriatal_transition	5	6
50	ic	internal_capsule	5	6
51	VStr	ventral_striatum	4	4
52	Acb	accumbens	5	6
53	Tu	olfactory_tubercule	5	6
54	Pd	pallidum	3	4
55	GP	globus_pallidus	5	5
56	EGP	external_globus_pallidus	6	6
57	IGP	internal_globus_pallidus	6	6
58	al	ansa_lenticularis	6	6
59	ac	anterior_commissure	5	6
60	VP	ventral_pallidum	5	6
61	DSP	diagonal_subpallium	2	3
62	BR	basal_nucleus_region	4	5
63	PeB	peri-basal_region	6	6
64	B	basal_nucleus	6	6
65	ST	bed_nucleus_of_the_stria_terminalis	4	6
66	SDBR	septum_diagonal_band_complex	4	4
67	SFi	septimbrial_nucleus	5	6
68	SDB	septum_diagonal_band	5	6
69	POC	preoptic_complex	2	3
70	opt	optic_tract	4	6
71	POR	preoptic_region	4	4
72	PO	preoptic_area	5	6
73	LTer-VOLT	lamina_terminalis	5	6
74	di	diencephalon	1	1
75	Hy	hypothalamus	2	2
76	THy	tuberal_hypothalamus	3	3
77	MTHy	medial_tuberal_hypothalamus	4	4
78	Pa	paraventricular_hypothalamus	5	6
79	VTHy	ventral_tuberal_hypothalamus	4	4
80	VMH	ventromedial_hypothalamic_nucleus	5	6
81	MEm	medial_emminence	5	6
82	Arc	arcuate_nucleus	5	6
83	DTHy	dorsal_tuberal_hypothalamus	4	4
84	SOpt	supraoptic_hypothalamus	5	6
85	AH	anterior_hypothalamic_area	5	6
86	DM	dorsal_medial_hypothalamic_nucleus	5	6
87	LHy	lateral_hypothalamic_region	5	5
88	LH	lateral_hypothalamic_area	6	6
89	JPLH	justaparaventricular_lateral_hypothalamus	6	6
90	PLH	peduncular_lateral_hypothalamus	6	6
91	STh	subthalamic_nucleus	5	6
92	PHy	posterior_hypothalamus	3	3
93	DPHy	dorsal_posterior_hypothalamus	4	4
94	PH	posterior_hypothalamic_nucleus	5	6
95	VPHy	ventral_posterior_hypothalamus	4	4
96	PeF	prefornical_hypothalamus	5	6
97	MM/RM	mammillary/retromammillary_hypothalamus	5	5
98	RM	retromammillary_hypothalamus	6	6
99	MM	mammillary_hypothalamus	6	6
100	Pit	pituitary	3	4
101	APit	anterior_pituitary	5	6
102	PPit	posterior_pituitary	5	6
103	PreThal	prethalamus	2	2
104	ZI-H	zona_incerta_and_lenticular_fascicles	3	6
105	Thal	thalamus	2	2
106	Rt	reticular_thalamus	3	6
107	MThal	medial_thalamus	3	3
108	A+	anterior_thalamus+	4	4
109	AR	anterior_thalamus_region	5	5
110	A	anterior_thalamus	6	6
111	cap	capsule_of_the_antherior_thalamus	6	6
112	ILThal	intralaminar_thalamus	4	4
113	CL-PC	centrolateral_and_paracentral_thalamus	5	6
114	CMn-PF	centromedial-parafascicular_thalamus	5	6
115	SPFC	suprafascicular_nucleus	5	5
116	SPFPC	subparafascicular_nucleus	6	6
117	SG	supra_geniculate	5	6
118	Lim	limitans_thalamus	5	6
119	MD	mediodorsal_thalamus	4	6
120	MLThal	midline_thalamus	3	4
121	IMD	intermediodorsal_thalamus	5	6
122	PT-PV-sm	paratenial-paraventral-thalamus	5	6
123	PVP	paraventricular_posterior_thalamus	5	6
124	PVA	paraventricular_anterior_thalamus	5	6
125	IAM	interanteromedial_thalamus	5	6
126	CM	central_medial_thalamus	5	6
127	Re-Rh-Xi	Reuniens-rhomboid-xiphoid_thalamus	5	6
128	VThal	ventral_thalamus	3	3
129	PNThal	pallido_nigral_thalamus	4	4
130	VA	ventral_anterior_thalamus	5	6
131	VLA	ventral_lateral_anterior_thalamus	5	6
132	CbThal	cerebellar_thalamus	4	4
133	VLX	ventral_lateral_x_thalamus	5	6
134	VLPV	ventral_lateral_posteroventral_thalamus	5	6
135	VLPD	ventral_lateral_posterodorsal_thalamus	5	6
136	SpThal	spinal_thalamus	4	4
137	VPM-VPL	ventroposterior_medial_and_lateral_thalamus	5	6
138	VMPo-VMB	ventromedial_posterior+basal_thalamus	5	6
139	VPI	ventroposterior_inferior_thalamus	5	6
140	VM	ventral_medial_thalamus	5	6
141	PThal	posterior_thalamus	3	3
142	LP	lateral_posterior_thalamus	4	6
143	LD	lateral_dorsal_thalamus	4	6
144	Pul	pulvinar_thalamus	4	4
145	APul	anterior_pulvinar	5	6
146	MPul	medial_pulvinar	5	6
147	LPul	lateral_pulvinar	5	6
148	IPul	inferior_pulvinar	5	6
149	bsc	brachium_superior_colliculus	5	6
150	GThal	geniculate_thalamus	3	3
151	DLG	dorsal_lateral_geniculate	4	6
152	MG	medial_geniculate	4	6
153	EpiThal	epithalamus	2	3
154	Pi	pineal_gland	4	6
155	Hb	habenula	4	6
156	PrT	pretectum	2	4
157	PCR	posterior_commissural_region	5	5
158	pc	posterior_commissure	6	6
159	PrC	precommissural_nucleus	6	6
160	PCom_MCPC	posterior_commissural_nuclei	6	6
161	p1Rt	p1_mesencephalic_reticulum	5	6
162	mes	mesencephalon	1	1
163	Mid	midbrain	2	2
164	DMid	dorsal_midbrain	3	3
165	Co	colliculi	4	4
166	SC	superior_colliculus	5	6
167	ICoC	inferior_colliculus_complex	5	5
168	ICo	inferior_colliculus	6	6
169	Sag-RL	saginum_nucleus	6	6
170	PAGR	periaqueductal_gray_region	4	4
171	n4	fourth_nerve	5	6
172	PAG	periaqueductal_gray	5	6
173	LMid	lateral_midbrain	3	3
174	TgMid	midbrain_tegmentum	4	4
175	PBG	parabigeminal_nucleus	5	6
176	MiTg	mircrocellular_tegmentum	5	6
177	PrCnF	precuneiform_nucleus	5	6
178	CnF	cuneiform_nucleus	5	6
179	VLTg	ventrolateral_tegmentum	5	6
180	PTg	pedunculopontine_nucleus	5	6
181	ATg	anterior_tegmental_nucleus	5	6
182	RtMid	midbrain_reticulum	4	4
183	mRt	mesencephalic_reticular_formation	5	6
184	RIs	retroisthmic_nucleus	5	6
185	MMid	medial_midbrain	3	3
186	OC+	occulomotor_region	4	4
187	OM	occulomotor_nuclei	5	6
188	mlf	mediolateral_fascicle	5	6
189	raphe_Mid	midbrain_raphe	4	4
190	MR	medial_Raphe	5	6
191	DR	dorsal_Raphe	5	6
192	LiR	linear_Raphe	5	6
193	VMid	ventral_midbrain	3	3
194	R+	rubral_region	4	5
195	R	red_nucleus	6	6
196	PR-RI	prerubral_field	6	6
197	DA_Mid	midbrain_dopaminergic_complex	4	4
198	RF	retrorubral_field	5	6
199	SN	substantia_nigra	5	6
200	VTA	ventral_tegmental_area	5	6
201	IP	interpeduncular_nucleus	5	6
202	n3	occulomotor_nerve	5	6
203	cp	cerebral_peduncle	5	6
204	met	metencephalon	1	1
205	Pons	pons	2	2
206	DPons	dorsal_pons	3	3
207	PBC	parabrachial_complex	4	5
208	LPB	lateral_parabrachial_nucleus	6	6
209	MPB	medial_parabrachial_nucleus	6	6
210	scp	superior_cerebellar_peduncle	6	6
211	KF	Kolliker-Fuse_nucleus	6	6
212	LGR	locus-central_gray_region	4	4
213	LC-Me5	locus-coeruleus_region	5	6
214	me5	mesencephalic_trigeminal_nerve	5	6
215	CG	central_gray_nucleus	5	6
216	tgPons	pontine_dorsal_tegmentum	4	4
217	LDTg	lateral_dorsal_tegmentum	5	6
218	MDTg	medial_dorsal_tegmentum	5	6
219	LPons	lateral_pons	3	3
220	ll+	lateral_lemniscus_complex	4	4
221	ll	lateral_lemniscus	5	6
222	DLL	dorsal_lateral_leminscus_nucleus	5	6
223	ILL-VLL	intermediate+ventral_lateral_lemniscus_nuclei	5	6
224	VPons	ventral_pons	3	3
225	retPons	pontine_reticulum	4	4
226	SubC	subceruleus	5	6
227	RtTg	reticulotegmentum	5	6
228	xscp	superior_cerebellar_peduncle_decussation	5	6
229	PnO	pontine_reticulum_oral	5	6
230	PnC	pontine_reticulum_caudal	5	6
231	SO/ml	superior_olive+lemiscal_region	4	4
232	SO	superior_olive	5	6
233	ml	medial_lemniscus	5	6
234	tz	trapezoid_bundle_region	5	6
235	Pn+	pontine_nucleus_region	4	4
236	Pn	pontine_nucleus	5	6
237	spf	pontine_fibers	5	5
238	s5	sensory_root_of_the_trigeminal_nerve	6	6
239	tfp	transverse_fibers	6	6
240	mcp	medial_cerebellar_peduncle	6	6
241	Cb	cerebellum	2	2
242	wmCB	cerebellar_white_matter	3	4
243	icp	inferior_cerebellar_peduncle	5	6
244	oc	olivocerebellar_tract	5	6
245	DCb	deep_cerebellar_nuclei	3	4
246	Lat	lateral_cerebellar_nucleus	5	6
247	Int	interposed_cerebellar_nuclei	5	5
248	IntA	anterior_interposed_cerebellar_nucleus	6	6
249	IntP	posterior_interposed_cerebellar_nucleus	6	6
250	Fas	fastigial_cerebellar_nucleus	5	6
251	CbCx	cerebellar_cortex	3	3
252	Fl-PFl	floculus_parafloculus	4	5
253	Fl	flocculus	6	6
254	PFl	paraflocculus	6	6
255	VCbCx	vermis_cerebellar_cortex	4	4
256	AVCbCx	anterior_vermis_cerebellar_cortex	5	5
257	Cb1V	cerebellar_lobule_1_vermis	6	6
258	Cb2V	cerebellar_lobule_2_vermis	6	6
259	Cb3V	cerebellar_lobule_3_vermis	6	6
260	Cb4V	cerebellar_lobule_4_vermis	6	6
261	Cb5V	cerebellar_lobule_5_vermis	6	6
262	PVCbCx	posterior_vermis_cerebellar_cortex	5	5
263	Cb6V	cerebellar_lobule_6_vermis	6	6
264	Cb7V	cerebellar_lobule_7_vermis	6	6
265	Cb8V	cerebellar_lobule_8_vermis	6	6
266	Cb9V	cerebellar_lobule_9_vermis	6	6
267	Cb10V	cerebellar_lobule_10_vermis	6	6
268	ICbCx	intermediate_cerebellar_cortex	4	5
269	Cb3I	cerebellar_lobule_3_intermediate	6	6
270	Cb4I	cerebellar_lobule_4_intermediate	6	6
271	Cb5I	cerebellar_lobule_5_intermediate	6	6
272	Cb6I	cerebellar_lobule_6_intermediate	6	6
273	Cop	copula_of_the_pyramis	6	6
274	Sim	simple_lobule	6	6
275	PM	paramedian_lobule	6	6
276	LCbCx	lateral_cerebellar_cortex	4	5
277	Crus1	ansiform_lobule_crus1	6	6
278	Crus2	ansiform_lobule_crus2	6	6
279	myel	myelencephalon	1	1
280	Med	medulla	2	2
281	DMed	dorsal_medulla	3	3
