index	name	color
1639705	unknown	#190519ff
2647065	bankssts	#196428ff
10511485	caudalanteriorcingulate	#7d64a0ff
6500	caudalmiddlefrontal	#641900ff
3294840	corpuscallosum	#784632ff
6558940	cuneus	#dc1464ff
660700	entorhinal	#dc140aff
9231540	fusiform	#b4dc8cff
14433500	inferiorparietal	#dc3cdcff
7874740	inferiortemporal	#b42878ff
9180300	isthmuscingulate	#8c148cff
9182740	lateraloccipital	#141e8cff
3296035	lateralorbitofrontal	#234b32ff
9211105	lingual	#e18c8cff
4924360	medialorbitofrontal	#c8234bff
3302560	middletemporal	#a06432ff
3988500	parahippocampal	#14dc3cff
3988540	paracentral	#3cdc3cff
9221340	parsopercularis	#dcb48cff
3302420	parsorbitalis	#146432ff
1326300	parstriangularis	#dc3c14ff
3957880	pericalcarine	#78643cff
1316060	postcentral	#dc1414ff
14464220	posteriorcingulate	#dcb4dcff
14423100	precentral	#3c14dcff
11832480	precuneus	#a08cb4ff
9180240	rostralanteriorcingulate	#50148cff
8204875	rostralmiddlefrontal	#4b327dff
10542100	superiorfrontal	#14dca0ff
9221140	superiorparietal	#14b48cff
14474380	superiortemporal	#8cdcdcff
1351760	supramarginal	#50a014ff
6553700	frontalpole	#640064ff
11146310	temporalpole	#4614aaff
13145750	transversetemporal	#9696c8ff
2146559	insula	#ffc020ff
