index	name	color
0	Unknown	#000000ff
3289650	Corpus_callosum	#323232ff
1971380	G_and_S_Insula_ONLY_AVERAGE	#b4141eff
1644860	G_cingulate-Isthmus	#3c1919ff
3947545	G_cingulate-Main_part	#193c3cff
1316020	G_cuneus	#b41414ff
6558940	G_frontal_inf-Opercular_part	#dc1464ff
3947660	G_frontal_inf-Orbital_part	#8c3c3cff
9231540	G_frontal_inf-Triangular_part	#b4dc8cff
11822220	G_frontal_middle	#8c64b4ff
9180340	G_frontal_superior	#b4148cff
9180300	G_frontomarginal	#8c148cff
657941	G_insular_long	#150a0aff
9211105	G_insular_short	#e18c8cff
11811863	G_and_S_occipital_inferior	#173cb4ff
11812020	G_occipital_middle	#b43cb4ff
3988500	G_occipital_superior	#14dc3cff
9180220	G_occipit-temp_lat-Or_fusiform	#3c148cff
9221340	G_occipit-temp_med-Lingual_part	#dcb48cff
1336385	G_occipit-temp_med-Parahippocampal_part	#416414ff
1326300	G_orbital	#dc3c14ff
3957820	G_paracentral	#3c643cff
14433300	G_parietal_inferior-Angular_part	#143cdcff
3957860	G_parietal_inferior-Supramarginal_part	#64643cff
14464220	G_parietal_superior	#dcb4dcff
9221140	G_postcentral	#14b48cff
11832380	G_precentral	#3c8cb4ff
9180185	G_precuneus	#19148cff
6568980	G_rectus	#143c64ff
1367100	G_subcallosal	#3cdc14ff
14423100	G_subcentral	#3c14dcff
6610140	G_temporal_inferior	#dcdc64ff
3947700	G_temporal_middle	#b43c3cff
14433340	G_temp_sup-G_temp_transv_and_interm_S	#3c3cdcff
14433500	G_temp_sup-Lateral_aspect	#dc3cdcff
3988545	G_temp_sup-Planum_polare	#41dc3cff
1346585	G_temp_sup-Planum_tempolare	#198c14ff
16384013	G_and_S_transverse_frontopolar	#0d00faff
14423101	Lat_Fissure-ant_sgt-ramus_horizontal	#3d14dcff
3937341	Lat_Fissure-ant_sgt-ramus_vertical	#3d143cff
6569021	Lat_Fissure-post_sgt	#3d3c64ff
1644825	Medial_wall	#191919ff
3937420	Pole_occipital	#8c143cff
1357020	Pole_temporal	#dcb414ff
11842623	S_calcarine	#3fb4b4ff
660701	S_central	#dd140aff
1367061	S_central_insula	#15dc14ff
1336503	S_cingulate-Main_part_and_Intracingulate	#b76414ff
6558941	S_cingulate-Marginalis_part	#dd1464ff
9190621	S_circular_insula_anterior	#dd3c8cff
14423261	S_circular_insula_inferior	#dd14dcff
14474301	S_circular_insula_superior	#3ddcdcff
13158500	S_collateral_transverse_ant	#64c8c8ff
13158410	S_collateral_transverse_post	#0ac8c8ff
1367261	S_frontal_inferior	#dddc14ff
6558861	S_frontal_middle	#8d1464ff
6609981	S_frontal_superior	#3ddc64ff
3988501	S_frontomarginal	#15dc3cff
1326221	S_intermedius_primus-Jensen	#8d3c14ff
14423183	S_intraparietal-and_Parietal_transverse	#8f14dcff
11801661	S_occipital_anterior	#3d14b4ff
14433381	S_occipital_middle_and_Lunatus	#653cdcff
9180181	S_occipital_superior_and_transversalis	#15148cff
1346781	S_occipito-temporal_lateral	#dd8c14ff
14443661	S_occipito-temporal_medial_and_S_Lingual	#8d64dcff
1315941	S_orbital-H_shapped	#651414ff
1336541	S_orbital_lateral	#dd6414ff
1362101	S_orbital_medial-Or_olfactory	#b5c814ff
9221141	S_paracentral	#15b48cff
11822181	S_parieto_occipital	#6564b4ff
1367221	S_pericallosal	#b5dc14ff
13143061	S_postcentral	#158cc8ff
15733781	S_precentral-Inferior-part	#1514f0ff
13112341	S_precentral-Superior-part	#1514c8ff
3978301	S_subcentral_ant	#3db43cff
16430141	S_subcentral_post	#3db4faff
3937301	S_suborbital	#15143cff
3947621	S_subparietal	#653c3cff
14474261	S_supracingulate	#15dcdcff
11842581	S_temporal_inferior	#15b4b4ff
3988703	S_temporal_superior	#dfdc3cff
3947741	S_temporal_transverse	#dd3c3cff
