index	name	color
16448250	unknown 	#fafafaff
2658790	lateralorbitofrontal_1 	#e69128ff
4919727	lateralorbitofrontal_2 	#af114bff
9760819	parsorbitalis_1 	#33f094ff
9365920	frontalpole_1 	#a0e98eff
13440352	medialorbitofrontal_1 	#6015cdff
15325560	medialorbitofrontal_2 	#78d9e9ff
6214450	parstriangularis_1 	#32d35eff
5643220	parsopercularis_1 	#d41b56ff
7215313	rostralmiddlefrontal_1 	#d1186eff
2922567	rostralmiddlefrontal_2 	#47982cff
1537148	superiorfrontal_1 	#7c7417ff
4235497	superiorfrontal_2 	#e9a040ff
14344528	superiorfrontal_3 	#50e1daff
3123049	superiorfrontal_4 	#69a72fff
5625672	caudalmiddlefrontal_1 	#48d755ff
11106510	precentral_1 	#ce78a9ff
16480399	precentral_2 	#8f78fbff
13309160	precentral_3 	#e814cbff
10779224	paracentral_1 	#587aa4ff
15401155	rostralanteriorcingulate_1 	#c300ebff
9404665	caudalanteriorcingulate_1 	#f9808fff
13826986	posteriorcingulate_1 	#aafbd2ff
2415082	isthmuscingulate_1 	#ead924ff
6957386	postcentral_1 	#4a296aff
11359015	postcentral_2 	#2753adff
2039147	supramarginal_1 	#6b1d1fff
10625771	supramarginal_2 	#eb22a2ff
14533803	superiorparietal_1 	#abc4ddff
12158839	superiorparietal_2 	#7787b9ff
10619327	superiorparietal_3 	#bf09a2ff
14491010	inferiorparietal_1 	#821dddff
12621267	inferiorparietal_2 	#d395c0ff
6844471	inferiorparietal_3 	#377068ff
10474844	precuneus_1 	#5cd59fff
902805	precuneus_2 	#95c60dff
13148651	cuneus_1 	#eba1c8ff
277730	pericalcarine_1 	#e23c04ff
13216895	lateraloccipital_1 	#7facc9ff
3091407	lateraloccipital_2 	#cf2b2fff
6273888	lateraloccipital_3 	#60bb5fff
14966595	lingual_1 	#435fe4ff
572945	lingual_2 	#11be08ff
11069622	fusiform_1 	#b6e8a8ff
777957	fusiform_2 	#e5de0bff
4640831	parahippocampal_1 	#3fd046ff
14742577	entorhinal_1 	#31f4e0ff
6258638	temporalpole_1 	#ce7f5fff
14672492	inferiortemporal_1 	#6ce2dfff
3544140	inferiortemporal_2 	#4c1436ff
9057075	middletemporal_1 	#33338aff
7600920	middletemporal_2 	#18fb73ff
2842816	bankssts_1 	#c0602bff
2504062	superiortemporal_1 	#7e3526ff
12413415	superiortemporal_2 	#e769bdff
16156926	transversetemporal_1 	#fe88f6ff
12189143	insula_1 	#d7fdb9ff
5310491	insula_2 	#1b0851ff
