index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8589944	7Networks_LH_Vis_1	#781283ff
8655480	7Networks_LH_Vis_2	#781284ff
8721016	7Networks_LH_Vis_3	#781285ff
8852088	7Networks_LH_Vis_4	#781287ff
8917624	7Networks_LH_Vis_5	#781288ff
8983160	7Networks_LH_Vis_6	#781289ff
9048696	7Networks_LH_Vis_7	#78128aff
9114232	7Networks_LH_Vis_8	#78128bff
9179768	7Networks_LH_Vis_9	#78128cff
11764294	7Networks_LH_SomMot_1	#4682b3ff
11895366	7Networks_LH_SomMot_2	#4682b5ff
11960902	7Networks_LH_SomMot_3	#4682b6ff
12026438	7Networks_LH_SomMot_4	#4682b7ff
12091974	7Networks_LH_SomMot_5	#4682b8ff
12157510	7Networks_LH_SomMot_6	#4682b9ff
882176	7Networks_LH_DorsAttn_Post_1	#00760dff
1013248	7Networks_LH_DorsAttn_Post_2	#00760fff
1078784	7Networks_LH_DorsAttn_Post_3	#007610ff
1144320	7Networks_LH_DorsAttn_Post_4	#007611ff
1209856	7Networks_LH_DorsAttn_Post_5	#007612ff
1275392	7Networks_LH_DorsAttn_Post_6	#007613ff
1340928	7Networks_LH_DorsAttn_PrCv_1	#007614ff
1406464	7Networks_LH_DorsAttn_FEF_1	#007615ff
16464580	7Networks_LH_SalVentAttn_ParOper_1	#c43afbff
16464836	7Networks_LH_SalVentAttn_FrOperIns_1	#c43bfbff
16530372	7Networks_LH_SalVentAttn_FrOperIns_2	#c43bfcff
16595908	7Networks_LH_SalVentAttn_PFCl_1	#c43bfdff
16464581	7Networks_LH_SalVentAttn_Med_1	#c53afbff
16530117	7Networks_LH_SalVentAttn_Med_2	#c53afcff
16595653	7Networks_LH_SalVentAttn_Med_3	#c53afdff
10877148	7Networks_LH_Limbic_OFC_1	#dcf8a5ff
10942684	7Networks_LH_Limbic_TempPole_1	#dcf8a6ff
11008220	7Networks_LH_Limbic_TempPole_2	#dcf8a7ff
2331878	7Networks_LH_Cont_Par_1	#e69423ff
2397670	7Networks_LH_Cont_PFCl_1	#e69524ff
2332135	7Networks_LH_Cont_pCun_1	#e79523ff
2397671	7Networks_LH_Cont_Cing_1	#e79524ff
5258957	7Networks_LH_Default_Temp_1	#cd3e50ff
5324493	7Networks_LH_Default_Temp_2	#cd3e51ff
5390029	7Networks_LH_Default_Par_1	#cd3e52ff
5455565	7Networks_LH_Default_Par_2	#cd3e53ff
4997069	7Networks_LH_Default_PFC_1	#cd3f4cff
5062605	7Networks_LH_Default_PFC_2	#cd3f4dff
5193677	7Networks_LH_Default_PFC_3	#cd3f4fff
5259213	7Networks_LH_Default_PFC_4	#cd3f50ff
5324749	7Networks_LH_Default_PFC_5	#cd3f51ff
5390285	7Networks_LH_Default_PFC_6	#cd3f52ff
5455821	7Networks_LH_Default_PFC_7	#cd3f53ff
5521357	7Networks_LH_Default_pCunPCC_1	#cd3f54ff
5586893	7Networks_LH_Default_pCunPCC_2	#cd3f55ff
