index	name	color
657930	Background	#0a0a0aff
65535	17networks_LH_DefaultA_IPL_1	#ffff00ff
131071	17networks_LH_DefaultA_PFCm_1	#ffff01ff
196607	17networks_LH_DefaultA_Temp_1	#ffff02ff
262143	17networks_LH_DefaultA_Temp_2	#ffff03ff
327679	17networks_LH_DefaultA_TempPole_1	#ffff04ff
393215	17networks_LH_DefaultA_TempPole_2	#ffff05ff
458751	17networks_LH_DefaultA_pCunPCC_1	#ffff06ff
4865741	17networks_LH_DefaultB_FPole_1	#cd3e4aff
4931277	17networks_LH_DefaultB_IPL_1	#cd3e4bff
4996813	17networks_LH_DefaultB_IPL_2	#cd3e4cff
5062349	17networks_LH_DefaultB_PFCd_1	#cd3e4dff
5127885	17networks_LH_DefaultB_PFCd_2	#cd3e4eff
5193421	17networks_LH_DefaultB_PFCd_3	#cd3e4fff
5258957	17networks_LH_DefaultB_PFCl_1	#cd3e50ff
5324493	17networks_LH_DefaultB_PFCv_1	#cd3e51ff
5390029	17networks_LH_DefaultB_TempPole_1	#cd3e52ff
8388608	17networks_LH_DefaultC_IPL_1	#000080ff
8454144	17networks_LH_DefaultC_PFCd_1	#000081ff
8519680	17networks_LH_DefaultC_PHC_1	#000082ff
8585216	17networks_LH_DefaultC_RSC_1	#000083ff
8650752	17networks_LH_DefaultC_pCun_1	#000084ff
16658444	17networks_LH_Language_IFG_1	#0c30feff
16723980	17networks_LH_Language_IFG_2	#0c30ffff
16394505	17networks_LH_Language_PFCl_1	#0929faff
16460041	17networks_LH_Language_Temp_1	#0929fbff
2135270	17networks_LH_ContA_Cingm_1	#e69420ff
2200806	17networks_LH_ContA_IPS_1	#e69421ff
2266342	17networks_LH_ContA_IPS_2	#e69422ff
2331878	17networks_LH_ContA_PFCl_1	#e69423ff
2397414	17networks_LH_ContA_PFCl_2	#e69424ff
2462950	17networks_LH_ContA_Temp_1	#e69425ff
4665991	17networks_LH_ContB_IPL_1	#873247ff
4731527	17networks_LH_ContB_IPS_1	#873248ff
4797063	17networks_LH_ContB_OFC_1	#873249ff
4862599	17networks_LH_ContB_OFC_2	#87324aff
4928135	17networks_LH_ContB_PCC_1	#87324bff
4993671	17networks_LH_ContB_PFCmp_1	#87324cff
5059207	17networks_LH_ContB_Temp_1	#87324dff
11439223	17networks_LH_ContC_Cingp_1	#778caeff
11504759	17networks_LH_ContC_FPole_1	#778cafff
11570295	17networks_LH_ContC_PFCm_1	#778cb0ff
11635831	17networks_LH_ContC_PFCm_2	#778cb1ff
11701367	17networks_LH_ContC_PHC_1	#778cb2ff
11766903	17networks_LH_ContC_pCun_1	#778cb3ff
16267972	17networks_LH_SalVenAttnA_FrMed_1	#c43af8ff
16333508	17networks_LH_SalVenAttnA_FrMed_2	#c43af9ff
16399044	17networks_LH_SalVenAttnA_Ins_1	#c43afaff
16464580	17networks_LH_SalVenAttnA_Ins_2	#c43afbff
16530116	17networks_LH_SalVenAttnA_SPL_1	#c43afcff
13867263	17networks_LH_SalVenAttnB_IFG_1	#ff98d3ff
13932799	17networks_LH_SalVenAttnB_IPL_1	#ff98d4ff
13998335	17networks_LH_SalVenAttnB_Ins_1	#ff98d5ff
14063871	17networks_LH_SalVenAttnB_OFC_1	#ff98d6ff
14129407	17networks_LH_SalVenAttnB_OFC_2	#ff98d7ff
14194943	17networks_LH_SalVenAttnB_PFCl_1	#ff98d8ff
3709770	17networks_LH_DorsAttnA_IPL_1	#4a9b38ff
3775306	17networks_LH_DorsAttnA_IPL_2	#4a9b39ff
3840842	17networks_LH_DorsAttnA_IPS_1	#4a9b3aff
3906378	17networks_LH_DorsAttnA_PFCd_1	#4a9b3bff
3971914	17networks_LH_DorsAttnA_PrCv_1	#4a9b3cff
4037450	17networks_LH_DorsAttnA_SPL_1	#4a9b3dff
4102986	17networks_LH_DorsAttnA_SPL_2	#4a9b3eff
4168522	17networks_LH_DorsAttnA_TempOcc_1	#4a9b3fff
4234058	17networks_LH_DorsAttnA_TempOcc_2	#4a9b40ff
4299594	17networks_LH_DorsAttnA_TempPole_1	#4a9b41ff
882176	17networks_LH_DorsAttnB_PostC_1	#00760dff
947712	17networks_LH_DorsAttnB_PrCd_1	#00760eff
1013248	17networks_LH_DorsAttnB_SPL_1	#00760fff
1078784	17networks_LH_DorsAttnB_SPL_2	#007610ff
