index	name	color
16448250	ctx-lh-unknown	#fafafaff
65280	a8m	#00ff00ff
255	a8dl	#ff0000ff
14449663	a9l	#ff7bdcff
16747776	a6dl	#008dffff
3491486	a6m	#9e4635ff
16772607	a9m	#ffedffff
16711909	a10m	#e500ffff
65500	a9/46d	#dcff00ff
34029	ifj	#ed8400ff
5767309	a46	#8d0058ff
9288094	a9/46v	#9eb98dff
47457	a8vl	#61b900ff
6368256	a6vl	#002c61ff
2903870	a10l	#3e4f2cff
5193313	a44d	#613e4fff
54271	ifs	#ffd300ff
10354688	a45c	#00009eff
16759277	a45r	#edb9ffff
10944767	a44op	#ff00a7ff
11552300	a44v	#2c46b0ff
14472085	a14m	#95d3dcff
16745674	a12/47o	#ca84ffff
167	a11l	#a70000ff
2883628	a11m	#2c002cff
9261029	a13	#e54f8dff
5222400	a12/47l	#00b04fff
10971648	a4hf	#006aa7ff
6406541	a6cdl	#8dc161ff
8675760	a4ul	#b06184ff
22695	a4t	#a75800ff
4603392	a4tl	#003e46ff
5794436	a6cvl	#846a58ff
2921930	a1/2/3ll	#ca952cff
4097130	a4ll	#6a843eff
11577088	a38m	#00a7b0ff
12176127	a41/42	#ffcab9ff
6397695	te1.0/te1.2	#ff9e61ff
10372784	a22c	#b0469eff
8088319	a38l	#ff6a7bff
11536754	a22r	#7209b0ff
20453	a21c	#e54f00ff
1188661	a21r	#352312ff
598784	a37dl	#002309ff
4074619	asts	#7b2c3eff
4648429	a20iv	#eded46ff
13886931	a37elv	#d3e5d3ff
11007690	a20r	#caf6a7ff
8097270	a20il	#f68d7bff
8097138	a37vl	#728d7bff
2888192	a20cl	#00122cff
20294	a20cv	#464f00ff
6976185	a20rv	#b9726aff
10419968	a37mv	#00ff9eff
9292411	a37lv	#7bca8dff
5789775	a35/36r	#4f5858ff
7471218	a35/36c	#720072ff
14467513	tl	#b9c1dcff
3473496	a28/34	#580035ff
8074566	ti	#46357bff
9807801	th	#b9a795ff
4619149	rpsts	#8d7b46ff
13843977	cpsts	#093ed3ff
15057407	a7r	#ffc1e5ff
38144	a7c	#009500ff
2904001	a5l	#c14f2cff
3484716	a7pc	#2c2c35ff
4077011	a7ip	#d3353eff
9810026	a39c	#6ab095ff
8117459	a39rd	#d3dc7bff
13828263	a40rd	#a700d3ff
4083465	a40c	#094f3eff
13873266	a39rv	#72b0d3ff
3500597	a40rv	#356a35ff
4639232	a7m	#00ca46ff
8653302	a5m	#f60984ff
1184476	dmpos	#dc1212ff
9821246	a31	#3edc95ff
11570564	a1/2/3ulhf	#848db0ff
15570369	a1/2/3tonia	#c195edff
12158207	a2	#ff84b9ff
8121767	a1/2/3tru	#a7ed7bff
5227007	g	#ffc14fff
2293883	via	#7b0023ff
11581854	dia	#9eb9b0ff
4619210	vid/vig	#ca7b46ff
4101455	dig	#4f953eff
13839448	did	#582cd3ff
626078	a23d	#9e8d09ff
6370692	a24rv	#843561ff
6971797	a32p	#95616aff
10395347	a23v	#d39e9eff
8069914	a24cd	#1a237bff
13287900	a23c	#dcc1caff
15557031	a32sg	#a761edff
6973952	cling	#006a6aff
15073112	rcung	#58ffe5ff
16720737	ccung	#6123ffff
9780868	rling	#843e95ff
12713860	vmpos	#84ffc1ff
10395233	moccg	#619e9eff
14445091	v5/mt+	#236adcff
5792220	opc	#dc6158ff
4592277	ioccg	#951246ff
16711865	msoccg	#b900ffff
12162515	lsoccg	#d395b9ff
