index	name	color
0	Unknown	#000000ff
3988503	G_and_S_frontomargin	#17dc3cff
11811863	G_and_S_occipital_inf	#173cb4ff
3957823	G_and_S_paracentral	#3f643cff
14423103	G_and_S_subcentral	#3f14dcff
16384013	G_and_S_transv_frontopol	#0d00faff
15386	G_and_S_cingul-Ant	#1a3c00ff
4930586	G_and_S_cingul-Mid-Ant	#1a3c4bff
9845786	G_and_S_cingul-Mid-Post	#1a3c96ff
16399385	G_cingul-Post-dorsal	#193cfaff
1644860	G_cingul-Post-ventral	#3c1919ff
1316020	G_cuneus	#b41414ff
6558940	G_front_inf-Opercular	#dc1464ff
3947660	G_front_inf-Orbital	#8c3c3cff
9231540	G_front_inf-Triangul	#b4dc8cff
11822220	G_front_middle	#8c64b4ff
9180340	G_front_sup	#b4148cff
657943	G_Ins_lg_and_S_cent_ins	#170a0aff
9211105	G_insular_short	#e18c8cff
11812020	G_occipital_middle	#b43cb4ff
3988500	G_occipital_sup	#14dc3cff
9180220	G_oc-temp_lat-fusifor	#3c148cff
9221340	G_oc-temp_med-Lingual	#dcb48cff
1336385	G_oc-temp_med-Parahip	#416414ff
1326300	G_orbital	#dc3c14ff
14433300	G_pariet_inf-Angular	#143cdcff
3957860	G_pariet_inf-Supramar	#64643cff
14464220	G_parietal_sup	#dcb4dcff
9221140	G_postcentral	#14b48cff
11832380	G_precentral	#3c8cb4ff
9180185	G_precuneus	#19148cff
6568980	G_rectus	#143c64ff
1367100	G_subcallosal	#3cdc14ff
14433340	G_temp_sup-G_T_transv	#3c3cdcff
14433500	G_temp_sup-Lateral	#dc3cdcff
3988545	G_temp_sup-Plan_polar	#41dc3cff
1346585	G_temp_sup-Plan_tempo	#198c14ff
6610140	G_temporal_inf	#dcdc64ff
3947700	G_temporal_middle	#b43c3cff
14423101	Lat_Fis-ant-Horizont	#3d14dcff
3937341	Lat_Fis-ant-Vertical	#3d143cff
6569021	Lat_Fis-post	#3d3c64ff
1644825	Medial_wall	#191919ff
3937420	Pole_occipital	#8c143cff
1357020	Pole_temporal	#dcb414ff
11842623	S_calcarine	#3fb4b4ff
660701	S_central	#dd140aff
6558941	S_cingul-Marginalis	#dd1464ff
9190621	S_circular_insula_ant	#dd3c8cff
14423261	S_circular_insula_inf	#dd14dcff
14474301	S_circular_insula_sup	#3ddcdcff
13158500	S_collat_transv_ant	#64c8c8ff
13158410	S_collat_transv_post	#0ac8c8ff
1367261	S_front_inf	#dddc14ff
6558861	S_front_middle	#8d1464ff
6609981	S_front_sup	#3ddc64ff
1326221	S_interm_prim-Jensen	#8d3c14ff
14423183	S_intrapariet_and_P_trans	#8f14dcff
14433381	S_oc_middle_and_Lunatus	#653cdcff
9180181	S_oc_sup_and_transversal	#15148cff
11801661	S_occipital_ant	#3d14b4ff
1346781	S_oc-temp_lat	#dd8c14ff
14443661	S_oc-temp_med_and_Lingual	#8d64dcff
1336541	S_orbital_lateral	#dd6414ff
1362101	S_orbital_med-olfact	#b5c814ff
1315941	S_orbital-H_Shaped	#651414ff
11822181	S_parieto_occipital	#6564b4ff
1367221	S_pericallosal	#b5dc14ff
13143061	S_postcentral	#158cc8ff
15733781	S_precentral-inf-part	#1514f0ff
13112341	S_precentral-sup-part	#1514c8ff
3937301	S_suborbital	#15143cff
3947621	S_subparietal	#653c3cff
11842581	S_temporal_inf	#15b4b4ff
3988703	S_temporal_sup	#dfdc3cff
3947741	S_temporal_transverse	#dd3c3cff
