index	name	color
16448250	unknown	#fafafaff
3296035	lateralorbitofrontal	#234b32ff
3302420	parsorbitalis	#146432ff
6553700	frontalpole	#640064ff
4924360	medialorbitofrontal	#c8234bff
1326300	parstriangularis	#dc3c14ff
9221340	parsopercularis	#dcb48cff
8204875	rostralmiddlefrontal	#4b327dff
10542100	superiorfrontal	#14dca0ff
6500	caudalmiddlefrontal	#641900ff
14423100	precentral	#3c14dcff
3988540	paracentral	#3cdc3cff
9180240	rostralanteriorcingulate	#50148cff
10511485	caudalanteriorcingulate	#7d64a0ff
14464220	posteriorcingulate	#dcb4dcff
9180300	isthmuscingulate	#8c148cff
1316060	postcentral	#dc1414ff
1351760	supramarginal	#50a014ff
9221140	superiorparietal	#14b48cff
14433500	inferiorparietal	#dc3cdcff
11832480	precuneus	#a08cb4ff
6558940	cuneus	#dc1464ff
3957880	pericalcarine	#78643cff
9182740	lateraloccipital	#141e8cff
9211105	lingual	#e18c8cff
9231540	fusiform	#b4dc8cff
3988500	parahippocampal	#14dc3cff
660700	entorhinal	#dc140aff
11146310	temporalpole	#4614aaff
7874740	inferiortemporal	#b42878ff
3302560	middletemporal	#a06432ff
2647065	bankssts	#196428ff
14474380	superiortemporal	#8cdcdcff
13145750	transversetemporal	#9696c8ff
2146559	insula	#ffc020ff
