index	name	color
65793	Background+FreeSurfer_Defined_Medial_Wall	#010101ff
8852344	17Networks_RH_VisCent_Striate_1	#781387ff
8459128	17Networks_RH_VisCent_ExStr_1	#781381ff
8524664	17Networks_RH_VisCent_ExStr_2	#781382ff
8590200	17Networks_RH_VisCent_ExStr_3	#781383ff
8655736	17Networks_RH_VisCent_ExStr_4	#781384ff
8721272	17Networks_RH_VisCent_ExStr_5	#781385ff
8786808	17Networks_RH_VisCent_ExStr_6	#781386ff
8917880	17Networks_RH_VisCent_ExStr_7	#781388ff
8983416	17Networks_RH_VisCent_ExStr_8	#781389ff
9048952	17Networks_RH_VisCent_ExStr_9	#78138aff
9114488	17Networks_RH_VisCent_ExStr_10	#78138bff
9180024	17Networks_RH_VisCent_ExStr_11	#78138cff
9245560	17Networks_RH_VisCent_ExStr_12	#78138dff
9311096	17Networks_RH_VisCent_ExStr_13	#78138eff
8852600	17Networks_RH_VisCent_ExStr_14	#781487ff
8918136	17Networks_RH_VisCent_ExStr_15	#781488ff
8983672	17Networks_RH_VisCent_ExStr_16	#781489ff
131583	17Networks_RH_VisPeri_StriCal_1	#ff0102ff
197119	17Networks_RH_VisPeri_StriCal_2	#ff0103ff
262655	17Networks_RH_VisPeri_StriCal_3	#ff0104ff
328191	17Networks_RH_VisPeri_StriCal_4	#ff0105ff
65790	17Networks_RH_VisPeri_ExStrInf_1	#fe0001ff
131326	17Networks_RH_VisPeri_ExStrInf_2	#fe0002ff
196862	17Networks_RH_VisPeri_ExStrInf_3	#fe0003ff
262398	17Networks_RH_VisPeri_ExStrInf_4	#fe0004ff
327934	17Networks_RH_VisPeri_ExStrInf_5	#fe0005ff
393470	17Networks_RH_VisPeri_ExStrSup_1	#fe0006ff
459006	17Networks_RH_VisPeri_ExStrSup_2	#fe0007ff
524542	17Networks_RH_VisPeri_ExStrSup_3	#fe0008ff
11698758	17Networks_RH_SomMotA_1	#4682b2ff
11764294	17Networks_RH_SomMotA_2	#4682b3ff
11829830	17Networks_RH_SomMotA_3	#4682b4ff
11895366	17Networks_RH_SomMotA_4	#4682b5ff
11436870	17Networks_RH_SomMotA_5	#4683aeff
11502406	17Networks_RH_SomMotA_6	#4683afff
11567942	17Networks_RH_SomMotA_7	#4683b0ff
