index	name	color
657930	Background	#0a0a0aff
65279	17networks_RH_DefaultA_IPL_1	#fffe00ff
65535	17networks_RH_DefaultA_IPL_2	#ffff00ff
131071	17networks_RH_DefaultA_IPL_3	#ffff01ff
196607	17networks_RH_DefaultA_IPL_4	#ffff02ff
262143	17networks_RH_DefaultA_PCC_1	#ffff03ff
327679	17networks_RH_DefaultA_PCC_2	#ffff04ff
393215	17networks_RH_DefaultA_PFCd_1	#ffff05ff
458751	17networks_RH_DefaultA_PFCd_2	#ffff06ff
524287	17networks_RH_DefaultA_PFCm_1	#ffff07ff
63996	17networks_RH_DefaultA_PFCm_2	#fcf900ff
64252	17networks_RH_DefaultA_PFCm_3	#fcfa00ff
64508	17networks_RH_DefaultA_PFCm_4	#fcfb00ff
64764	17networks_RH_DefaultA_PFCm_5	#fcfc00ff
65020	17networks_RH_DefaultA_PFCm_6	#fcfd00ff
65276	17networks_RH_DefaultA_PHC_1	#fcfe00ff
65532	17networks_RH_DefaultA_PHC_2	#fcff00ff
63741	17networks_RH_DefaultA_Temp_1	#fdf800ff
63997	17networks_RH_DefaultA_Temp_2	#fdf900ff
64253	17networks_RH_DefaultA_Temp_3	#fdfa00ff
64509	17networks_RH_DefaultA_Temp_4	#fdfb00ff
64765	17networks_RH_DefaultA_Temp_5	#fdfc00ff
65021	17networks_RH_DefaultA_Temp_6	#fdfd00ff
65277	17networks_RH_DefaultA_Temp_7	#fdfe00ff
65533	17networks_RH_DefaultA_TempPole_1	#fdff00ff
63742	17networks_RH_DefaultA_TempPole_2	#fef800ff
63998	17networks_RH_DefaultA_TempPole_3	#fef900ff
64254	17networks_RH_DefaultA_pCun_1	#fefa00ff
64510	17networks_RH_DefaultA_pCun_2	#fefb00ff
4734669	17networks_RH_DefaultB_FPole_1	#cd3e48ff
4800205	17networks_RH_DefaultB_IPL_1	#cd3e49ff
4865741	17networks_RH_DefaultB_PFCd_1	#cd3e4aff
4931277	17networks_RH_DefaultB_PFCd_2	#cd3e4bff
4996813	17networks_RH_DefaultB_PFCd_3	#cd3e4cff
5062349	17networks_RH_DefaultB_PFCd_4	#cd3e4dff
5127885	17networks_RH_DefaultB_PFCd_5	#cd3e4eff
5193421	17networks_RH_DefaultB_PFCv_1	#cd3e4fff
5258957	17networks_RH_DefaultB_PFCv_2	#cd3e50ff
5324493	17networks_RH_DefaultB_Temp_1	#cd3e51ff
5390029	17networks_RH_DefaultB_Temp_2	#cd3e52ff
5455565	17networks_RH_DefaultB_TempPole_1	#cd3e53ff
5521101	17networks_RH_DefaultB_TempPole_2	#cd3e54ff
5586637	17networks_RH_DefaultB_pCun_1	#cd3e55ff
8060928	17networks_RH_DefaultC_IPL_1	#00007bff
8126464	17networks_RH_DefaultC_IPL_2	#00007cff
8192000	17networks_RH_DefaultC_IPL_3	#00007dff
8257536	17networks_RH_DefaultC_IPL_4	#00007eff
8323072	17networks_RH_DefaultC_IPL_5	#00007fff
8388608	17networks_RH_DefaultC_IPL_6	#000080ff
8454144	17networks_RH_DefaultC_IPL_7	#000081ff
8519680	17networks_RH_DefaultC_PFCd_1	#000082ff
