index	name	red	green	blue	alpha
1	R_V1_ROI	76.0	5.0	255.0	255.0
2	R_MST_ROI	52.0	108.0	132.0	255.0
3	R_V6_ROI	67.0	94.0	171.0	255.0
4	R_V2_ROI	26.0	54.0	239.0	255.0
5	R_V3_ROI	18.0	32.0	240.0	255.0
6	R_V4_ROI	20.0	36.0	223.0	255.0
7	R_V8_ROI	30.0	62.0	208.0	255.0
8	R_4_ROI	39.0	175.0	28.0	255.0
9	R_3b_ROI	40.0	194.0	23.0	255.0
10	R_FEF_ROI	137.0	144.0	148.0	255.0
11	R_PEF_ROI	166.0	179.0	169.0	255.0
12	R_55b_ROI	111.0	105.0	77.0	255.0
13	R_V3A_ROI	24.0	70.0	253.0	255.0
14	R_RSC_ROI	157.0	66.0	127.0	255.0
15	R_POS2_ROI	210.0	115.0	202.0	255.0
16	R_V7_ROI	26.0	92.0	193.0	255.0
17	R_IPS1_ROI	57.0	123.0	172.0	255.0
18	R_FFC_ROI	57.0	94.0	121.0	255.0
19	R_V3B_ROI	41.0	73.0	222.0	255.0
20	R_LO1_ROI	17.0	67.0	207.0	255.0
21	R_LO2_ROI	21.0	53.0	182.0	255.0
22	R_PIT_ROI	33.0	54.0	187.0	255.0
23	R_MT_ROI	34.0	93.0	106.0	255.0
24	R_A1_ROI	232.0	12.0	43.0	255.0
25	R_PSL_ROI	188.0	144.0	135.0	255.0
26	R_SFL_ROI	65.0	57.0	51.0	255.0
27	R_PCV_ROI	133.0	142.0	155.0	255.0
28	R_STV_ROI	144.0	112.0	108.0	255.0
29	R_7Pm_ROI	158.0	205.0	191.0	255.0
30	R_7m_ROI	49.0	46.0	49.0	255.0
31	R_POS1_ROI	94.0	82.0	107.0	255.0
32	R_23d_ROI	134.0	52.0	87.0	255.0
33	R_v23ab_ROI	29.0	6.0	20.0	255.0
34	R_d23ab_ROI	85.0	28.0	54.0	255.0
35	R_31pv_ROI	70.0	20.0	52.0	255.0
36	R_5m_ROI	48.0	171.0	50.0	255.0
37	R_5mv_ROI	141.0	158.0	129.0	255.0
38	R_23c_ROI	215.0	191.0	195.0	255.0
39	R_5L_ROI	66.0	160.0	72.0	255.0
40	R_24dd_ROI	72.0	160.0	45.0	255.0
41	R_24dv_ROI	119.0	154.0	67.0	255.0
42	R_7AL_ROI	120.0	191.0	130.0	255.0
43	R_SCEF_ROI	136.0	149.0	105.0	255.0
44	R_6ma_ROI	152.0	169.0	137.0	255.0
45	R_7Am_ROI	170.0	246.0	220.0	255.0
46	R_7PL_ROI	167.0	255.0	232.0	255.0
47	R_7PC_ROI	75.0	178.0	105.0	255.0
48	R_LIPv_ROI	65.0	129.0	176.0	255.0
49	R_VIP_ROI	60.0	150.0	150.0	255.0
50	R_MIP_ROI	129.0	202.0	197.0	255.0
51	R_1_ROI	28.0	194.0	42.0	255.0
52	R_2_ROI	58.0	179.0	72.0	255.0
53	R_3a_ROI	53.0	222.0	28.0	255.0
54	R_6d_ROI	37.0	162.0	42.0	255.0
55	R_6mp_ROI	77.0	159.0	50.0	255.0
56	R_6v_ROI	89.0	181.0	67.0	255.0
57	R_p24pr_ROI	152.0	144.0	112.0	255.0
58	R_33pr_ROI	121.0	93.0	91.0	255.0
59	R_a24pr_ROI	175.0	124.0	125.0	255.0
60	R_p32pr_ROI	171.0	143.0	129.0	255.0
61	R_a24_ROI	80.0	11.0	35.0	255.0
62	R_d32_ROI	116.0	41.0	64.0	255.0
63	R_8BM_ROI	133.0	80.0	92.0	255.0
64	R_p32_ROI	121.0	51.0	79.0	255.0
65	R_10r_ROI	27.0	0.0	6.0	255.0
66	R_47m_ROI	93.0	53.0	60.0	255.0
67	R_8Av_ROI	91.0	68.0	67.0	255.0
68	R_8Ad_ROI	64.0	60.0	48.0	255.0
69	R_9m_ROI	50.0	27.0	24.0	255.0
70	R_8BL_ROI	41.0	32.0	24.0	255.0
71	R_9p_ROI	66.0	51.0	51.0	255.0
72	R_10d_ROI	42.0	27.0	25.0	255.0
73	R_8C_ROI	123.0	84.0	92.0	255.0
74	R_44_ROI	135.0	94.0	91.0	255.0
75	R_45_ROI	83.0	62.0	56.0	255.0
76	R_47l_ROI	58.0	27.0	31.0	255.0
77	R_a47r_ROI	99.0	66.0	72.0	255.0
78	R_6r_ROI	186.0	200.0	155.0	255.0
79	R_IFJa_ROI	139.0	114.0	101.0	255.0
80	R_IFJp_ROI	131.0	139.0	128.0	255.0
81	R_IFSp_ROI	132.0	105.0	117.0	255.0
82	R_IFSa_ROI	211.0	198.0	188.0	255.0
83	R_p9-46v_ROI	153.0	136.0	136.0	255.0
84	R_46_ROI	196.0	199.0	186.0	255.0
85	R_a9-46v_ROI	176.0	120.0	150.0	255.0
86	R_9-46d_ROI	161.0	123.0	146.0	255.0
87	R_9a_ROI	71.0	57.0	60.0	255.0
88	R_10v_ROI	0.0	8.0	1.0	255.0
89	R_a10p_ROI	128.0	85.0	111.0	255.0
90	R_10pp_ROI	59.0	44.0	54.0	255.0
91	R_11l_ROI	126.0	94.0	111.0	255.0
92	R_13l_ROI	118.0	87.0	99.0	255.0
93	R_OFC_ROI	53.0	37.0	40.0	255.0
94	R_47s_ROI	69.0	32.0	36.0	255.0
95	R_LIPd_ROI	149.0	177.0	197.0	255.0
96	R_6a_ROI	128.0	197.0	144.0	255.0
97	R_i6-8_ROI	123.0	117.0	106.0	255.0
98	R_s6-8_ROI	104.0	89.0	82.0	255.0
99	R_43_ROI	150.0	136.0	66.0	255.0
100	R_OP4_ROI	101.0	157.0	43.0	255.0
101	R_OP1_ROI	93.0	143.0	36.0	255.0
102	R_OP2-3_ROI	145.0	118.0	61.0	255.0
103	R_52_ROI	202.0	68.0	56.0	255.0
104	R_RI_ROI	164.0	84.0	43.0	255.0
105	R_PFcm_ROI	172.0	146.0	89.0	255.0
106	R_PoI2_ROI	132.0	124.0	83.0	255.0
107	R_TA2_ROI	136.0	36.0	30.0	255.0
108	R_FOP4_ROI	199.0	148.0	142.0	255.0
109	R_MI_ROI	166.0	119.0	114.0	255.0
110	R_Pir_ROI	107.0	79.0	72.0	255.0
111	R_AVI_ROI	152.0	74.0	91.0	255.0
112	R_AAIC_ROI	97.0	40.0	47.0	255.0
113	R_FOP1_ROI	148.0	125.0	82.0	255.0
114	R_FOP3_ROI	185.0	133.0	107.0	255.0
115	R_FOP2_ROI	99.0	156.0	56.0	255.0
116	R_PFt_ROI	108.0	202.0	115.0	255.0
117	R_AIP_ROI	131.0	215.0	162.0	255.0
118	R_EC_ROI	56.0	50.0	40.0	255.0
119	R_PreS_ROI	103.0	68.0	97.0	255.0
120	R_H_ROI	66.0	63.0	46.0	255.0
121	R_ProS_ROI	99.0	83.0	177.0	255.0
122	R_PeEc_ROI	64.0	60.0	54.0	255.0
123	R_STGa_ROI	58.0	45.0	27.0	255.0
124	R_PBelt_ROI	197.0	22.0	13.0	255.0
125	R_A5_ROI	112.0	41.0	6.0	255.0
126	R_PHA1_ROI	74.0	61.0	86.0	255.0
127	R_PHA3_ROI	95.0	107.0	126.0	255.0
128	R_STSda_ROI	72.0	56.0	42.0	255.0
129	R_STSdp_ROI	96.0	65.0	54.0	255.0
130	R_STSvp_ROI	94.0	53.0	64.0	255.0
131	R_TGd_ROI	37.0	34.0	27.0	255.0
132	R_TE1a_ROI	9.0	7.0	0.0	255.0
133	R_TE1p_ROI	113.0	104.0	103.0	255.0
134	R_TE2a_ROI	72.0	57.0	57.0	255.0
135	R_TF_ROI	68.0	74.0	63.0	255.0
136	R_TE2p_ROI	109.0	139.0	128.0	255.0
137	R_PHT_ROI	207.0	246.0	214.0	255.0
138	R_PH_ROI	75.0	128.0	161.0	255.0
139	R_TPOJ1_ROI	125.0	94.0	78.0	255.0
140	R_TPOJ2_ROI	134.0	158.0	139.0	255.0
141	R_TPOJ3_ROI	102.0	140.0	143.0	255.0
142	R_DVT_ROI	124.0	132.0	198.0	255.0
143	R_PGp_ROI	152.0	201.0	221.0	255.0
144	R_IP2_ROI	190.0	176.0	178.0	255.0
145	R_IP1_ROI	131.0	116.0	129.0	255.0
146	R_IP0_ROI	110.0	164.0	210.0	255.0
147	R_PFop_ROI	164.0	190.0	130.0	255.0
148	R_PF_ROI	255.0	247.0	216.0	255.0
149	R_PFm_ROI	171.0	123.0	135.0	255.0
150	R_PGi_ROI	61.0	63.0	56.0	255.0
151	R_PGs_ROI	105.0	82.0	82.0	255.0
152	R_V6A_ROI	52.0	102.0	179.0	255.0
153	R_VMV1_ROI	60.0	70.0	174.0	255.0
154	R_VMV3_ROI	51.0	66.0	164.0	255.0
155	R_PHA2_ROI	88.0	96.0	100.0	255.0
156	R_V4t_ROI	18.0	93.0	132.0	255.0
157	R_FST_ROI	75.0	160.0	147.0	255.0
158	R_V3CD_ROI	28.0	71.0	203.0	255.0
159	R_LO3_ROI	65.0	102.0	175.0	255.0
160	R_VMV2_ROI	68.0	74.0	176.0	255.0
161	R_31pd_ROI	100.0	44.0	82.0	255.0
162	R_31a_ROI	147.0	99.0	125.0	255.0
163	R_VVC_ROI	59.0	67.0	124.0	255.0
164	R_25_ROI	36.0	19.0	13.0	255.0
165	R_s32_ROI	33.0	10.0	7.0	255.0
166	R_pOFC_ROI	101.0	57.0	70.0	255.0
167	R_PoI1_ROI	182.0	113.0	106.0	255.0
168	R_Ig_ROI	106.0	128.0	40.0	255.0
169	R_FOP5_ROI	174.0	94.0	110.0	255.0
170	R_p10p_ROI	105.0	73.0	89.0	255.0
171	R_p47r_ROI	162.0	113.0	126.0	255.0
172	R_TGv_ROI	63.0	64.0	55.0	255.0
173	R_MBelt_ROI	189.0	10.0	23.0	255.0
174	R_LBelt_ROI	213.0	23.0	30.0	255.0
175	R_A4_ROI	155.0	35.0	9.0	255.0
176	R_STSva_ROI	43.0	36.0	28.0	255.0
177	R_TE1m_ROI	92.0	53.0	61.0	255.0
178	R_PI_ROI	127.0	53.0	56.0	255.0
179	R_a32pr_ROI	158.0	77.0	106.0	255.0
180	R_p24_ROI	126.0	38.0	75.0	255.0
181	L_V1_ROI	67.0	10.0	255.0	255.0
182	L_MST_ROI	49.0	91.0	127.0	255.0
183	L_V6_ROI	49.0	85.0	168.0	255.0
184	L_V2_ROI	13.0	51.0	237.0	255.0
185	L_V3_ROI	5.0	34.0	233.0	255.0
186	L_V4_ROI	9.0	20.0	213.0	255.0
187	L_V8_ROI	18.0	41.0	191.0	255.0
188	L_4_ROI	28.0	174.0	21.0	255.0
189	L_3b_ROI	29.0	204.0	19.0	255.0
190	L_FEF_ROI	132.0	143.0	137.0	255.0
191	L_PEF_ROI	138.0	156.0	148.0	255.0
192	L_55b_ROI	60.0	87.0	49.0	255.0
193	L_V3A_ROI	2.0	60.0	247.0	255.0
194	L_RSC_ROI	151.0	64.0	124.0	255.0
195	L_POS2_ROI	187.0	94.0	187.0	255.0
196	L_V7_ROI	9.0	73.0	188.0	255.0
197	L_IPS1_ROI	47.0	107.0	165.0	255.0
198	L_FFC_ROI	57.0	85.0	118.0	255.0
199	L_V3B_ROI	20.0	48.0	202.0	255.0
200	L_LO1_ROI	0.0	41.0	184.0	255.0
201	L_LO2_ROI	9.0	29.0	182.0	255.0
202	L_PIT_ROI	27.0	32.0	173.0	255.0
203	L_MT_ROI	24.0	81.0	97.0	255.0
204	L_A1_ROI	226.0	23.0	42.0	255.0
205	L_PSL_ROI	99.0	73.0	47.0	255.0
206	L_SFL_ROI	20.0	49.0	22.0	255.0
207	L_PCV_ROI	130.0	133.0	154.0	255.0
208	L_STV_ROI	133.0	83.0	74.0	255.0
209	L_7Pm_ROI	152.0	184.0	187.0	255.0
210	L_7m_ROI	34.0	36.0	37.0	255.0
211	L_POS1_ROI	79.0	57.0	88.0	255.0
212	L_23d_ROI	111.0	56.0	81.0	255.0
213	L_v23ab_ROI	19.0	0.0	8.0	255.0
214	L_d23ab_ROI	67.0	28.0	50.0	255.0
215	L_31pv_ROI	48.0	17.0	41.0	255.0
216	L_5m_ROI	38.0	166.0	49.0	255.0
217	L_5mv_ROI	144.0	172.0	132.0	255.0
218	L_23c_ROI	207.0	188.0	191.0	255.0
219	L_5L_ROI	53.0	158.0	66.0	255.0
220	L_24dd_ROI	59.0	160.0	38.0	255.0
221	L_24dv_ROI	119.0	155.0	67.0	255.0
222	L_7AL_ROI	105.0	197.0	136.0	255.0
223	L_SCEF_ROI	100.0	144.0	83.0	255.0
