index	name	red	green	blue	alpha
1	Hippocampus_r	63.0	108.0	25.0	255.0
2	Hippocampus_l	63.0	108.0	25.0	255.0
3	Amygdala_r	222.0	222.0	7.0	255.0
4	Amygdala_l	222.0	222.0	7.0	255.0
5	Ant_TL_med_r	178.0	227.0	137.0	255.0
6	Ant_TL_med_l	178.0	227.0	137.0	255.0
7	Ant_TL_inf_lat_r	108.0	250.0	174.0	255.0
8	Ant_TL_inf_lat_l	108.0	250.0	174.0	255.0
9	G_paraH_amb_r	229.0	245.0	215.0	255.0
10	G_paraH_amb_l	229.0	245.0	215.0	255.0
11	G_sup_temp_post_r	14.0	161.0	121.0	255.0
12	G_sup_temp_post_l	14.0	161.0	121.0	255.0
13	G_tem_midin_r	94.0	162.0	38.0	255.0
14	G_tem_midin_l	94.0	162.0	38.0	255.0
15	G_fus_r	238.0	249.0	142.0	255.0
16	G_fus_l	238.0	249.0	142.0	255.0
17	Cerebellum_r	250.0	239.0	5.0	255.0
18	Cerebellum_l	250.0	239.0	5.0	255.0
19	Brainstem	151.0	72.0	6.0	255.0
20	Insula_l	143.0	175.0	255.0	255.0
21	Insula_r	143.0	175.0	255.0	255.0
22	OL_rest_lat_l	255.0	0.0	0.0	255.0
23	OL_rest_lat_r	255.0	0.0	0.0	255.0
24	G_cing_ant_l	178.0	162.0	199.0	255.0
25	G_cing_ant_r	178.0	162.0	199.0	255.0
26	G_cing_post_l	95.0	73.0	122.0	255.0
27	G_cing_post_r	95.0	73.0	122.0	255.0
28	FL_mid_fr_G_l	28.0	167.0	255.0	255.0
29	FL_mid_fr_G_r	28.0	167.0	255.0	255.0
30	Post_TL_l	2.0	148.0	47.0	255.0
31	Post_TL_r	2.0	148.0	47.0	255.0
32	PL_rest_l	237.0	109.0	197.0	255.0
33	PL_rest_r	237.0	109.0	197.0	255.0
34	CaudateNucl_l	255.0	0.0	0.0	255.0
35	CaudateNucl_r	255.0	0.0	0.0	255.0
36	NuclAccumb_l	0.0	0.0	255.0	255.0
37	NuclAccumb_r	0.0	0.0	255.0	255.0
38	Putamen_l	153.0	0.0	255.0	255.0
39	Putamen_r	153.0	0.0	255.0	255.0
40	Thalamus_l	0.0	255.0	0.0	255.0
41	Thalamus_r	0.0	255.0	0.0	255.0
42	Pallidum_l	255.0	204.0	0.0	255.0
43	Pallidum_r	255.0	204.0	0.0	255.0
44	Corp_Callosum	255.0	255.0	0.0	255.0
45	FrontalHorn_r	219.0	238.0	243.0	255.0
46	FrontalHorn_l	219.0	238.0	243.0	255.0
47	TemporaHorn_r	183.0	221.0	232.0	255.0
48	TemporaHorn_l	183.0	221.0	232.0	255.0
49	ThirdVentricl	146.0	205.0	220.0	255.0
50	FL_precen_G_l	100.0	0.0	255.0	255.0
51	FL_precen_G_r	100.0	0.0	255.0	255.0
52	FL_strai_G_l	28.0	247.0	255.0	255.0
53	FL_strai_G_r	28.0	247.0	255.0	255.0
54	FL_OFC_AOG_l	0.0	114.0	255.0	255.0
55	FL_OFC_AOG_r	0.0	114.0	255.0	255.0
56	FL_inf_fr_G_l	28.0	247.0	255.0	255.0
57	FL_inf_fr_G_r	28.0	247.0	255.0	255.0
58	FL_sup_fr_G_l	0.0	0.0	255.0	255.0
59	FL_sup_fr_G_r	0.0	0.0	255.0	255.0
60	PL_postce_G_l	204.0	0.0	251.0	255.0
61	PL_postce_G_r	204.0	0.0	251.0	255.0
62	PL_sup_pa_G_l	190.0	114.0	191.0	255.0
63	PL_sup_pa_G_r	190.0	114.0	191.0	255.0
64	OL_ling_G_l	255.0	130.0	0.0	255.0
65	OL_ling_G_r	255.0	130.0	0.0	255.0
66	OL_cuneus_l	252.0	191.0	6.0	255.0
67	OL_cuneus_r	252.0	191.0	6.0	255.0
68	FL_OFC_MOG_l	100.0	100.0	255.0	255.0
69	FL_OFC_MOG_r	100.0	100.0	255.0	255.0
70	FL_OFC_LOG_l	160.0	255.0	255.0	255.0
71	FL_OFC_LOG_r	160.0	255.0	255.0	255.0
72	FL_OFC_POG_l	190.0	180.0	255.0	255.0
73	FL_OFC_POG_r	190.0	180.0	255.0	255.0
74	S_nigra_l	127.0	127.0	127.0	255.0
75	S_nigra_r	127.0	127.0	127.0	255.0
76	Subgen_antCing_l	93.0	188.0	255.0	255.0
77	Subgen_antCing_r	93.0	188.0	255.0	255.0
78	Subcall_area_l	100.0	0.0	255.0	255.0
79	Subcall_area_r	100.0	0.0	255.0	255.0
80	Presubgen_antCing_l	0.0	114.0	255.0	255.0
81	Presubgen_antCing_r	0.0	114.0	255.0	255.0
82	G_sup_temp_ant_l	209.0	253.0	138.0	255.0
83	G_sup_temp_ant_r	209.0	253.0	138.0	255.0
99	CS	255.0	255.0	0.0	255.0
