index	name	red	green	blue	alpha
1	7Networks_LH_Vis_1	120.0	18.0	131.0	255.0
2	7Networks_LH_Vis_2	120.0	18.0	132.0	255.0
3	7Networks_LH_Vis_3	120.0	18.0	133.0	255.0
4	7Networks_LH_Vis_4	120.0	18.0	135.0	255.0
5	7Networks_LH_Vis_5	120.0	18.0	136.0	255.0
6	7Networks_LH_Vis_6	120.0	18.0	137.0	255.0
7	7Networks_LH_Vis_7	120.0	18.0	138.0	255.0
8	7Networks_LH_Vis_8	120.0	18.0	139.0	255.0
9	7Networks_LH_Vis_9	120.0	18.0	140.0	255.0
10	7Networks_LH_SomMot_1	70.0	130.0	179.0	255.0
11	7Networks_LH_SomMot_2	70.0	130.0	181.0	255.0
12	7Networks_LH_SomMot_3	70.0	130.0	182.0	255.0
13	7Networks_LH_SomMot_4	70.0	130.0	183.0	255.0
14	7Networks_LH_SomMot_5	70.0	130.0	184.0	255.0
15	7Networks_LH_SomMot_6	70.0	130.0	185.0	255.0
16	7Networks_LH_DorsAttn_Post_1	0.0	118.0	13.0	255.0
17	7Networks_LH_DorsAttn_Post_2	0.0	118.0	15.0	255.0
18	7Networks_LH_DorsAttn_Post_3	0.0	118.0	16.0	255.0
19	7Networks_LH_DorsAttn_Post_4	0.0	118.0	17.0	255.0
20	7Networks_LH_DorsAttn_Post_5	0.0	118.0	18.0	255.0
21	7Networks_LH_DorsAttn_Post_6	0.0	118.0	19.0	255.0
22	7Networks_LH_DorsAttn_PrCv_1	0.0	118.0	20.0	255.0
23	7Networks_LH_DorsAttn_FEF_1	0.0	118.0	21.0	255.0
24	7Networks_LH_SalVentAttn_ParOper_1	196.0	58.0	251.0	255.0
25	7Networks_LH_SalVentAttn_FrOperIns_1	196.0	59.0	251.0	255.0
26	7Networks_LH_SalVentAttn_FrOperIns_2	196.0	59.0	252.0	255.0
27	7Networks_LH_SalVentAttn_PFCl_1	196.0	59.0	253.0	255.0
28	7Networks_LH_SalVentAttn_Med_1	197.0	58.0	251.0	255.0
